,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
405,Kosuyolu mah,41.0090866,29.0387191,55eb1c2b498ea54db1fa109f,İstanbul Marmara Spor Kulübü,41.013618427143655,29.03905600580627,505,Gym
411,Kozyatagi mah,40.9691471,29.095444,55ebf54b498eb1e24a632f8b,M.E. Marmara Akademi Spor Okulları,40.9705407776478,29.097310074427252,220,Gym
421,Kozyatagi mah,40.9691471,29.095444,55ebf72d498ed46db4589c0c,M.E. Marmara Akademi Spor Okulları,40.97083207632383,29.097339739013634,246,Gym
140,Hasanpasa mah,40.9966818,29.0438107,55f1aa65498ef85deed23e00,MertAtlas Fitness,40.99481109006442,29.04088472125745,322,Gym
45,Caddebostan mah,40.9679267,29.0619934,55fd19f9498ec3502502fd87,Mira Yoga,40.96803984434433,29.060570125822363,120,Yoga Studio
430,Kozyatagi mah,40.9691471,29.095444,5608120c498e663eb098c97c,Hit Club,40.97362006065361,29.095168527150335,498,Gym / Fitness Center
134,Egi̇ti̇m mah,40.9896682,29.0503567,56106667498eb641933153a6,Deniz Apart.,40.987279948419925,29.049092403484014,286,Gym / Fitness Center
589,Rasi̇mpasa mah,40.9960665,29.0270806,5611278c498ef7d045ea2621,Akademi Spor Salonu,40.99122498905252,29.0291918556415,567,Gym
6,Bostanci mah,40.9583172,29.0968982,5612551a498eafa1936153ba,MAC Fit,40.95522139746523,29.09554344211575,362,Gym
564,Rasi̇mpasa mah,40.9960665,29.0270806,5624d07b498e32f69f7a1649,istanbul thaiboxing,40.99830605536368,29.029174806662276,305,Martial Arts Dojo
624,Suadi̇ye mah,40.963081,29.0838099,562632c7498e9368736cc0f9,Stayfit pilates,40.95946620899663,29.08713801184972,490,Gym
649,Suadi̇ye mah,40.963081,29.0838099,562667d6498ea7c915c39cfd,ONLY PİLATES,40.960740478542974,29.08427854812619,263,Gym / Fitness Center
456,Merdi̇venkoy mah,40.9864251,29.066357,5627a886498ef6f6ca9634e2,PAIN HOUSE GYM - SY ®,40.99031662445335,29.063530329134096,494,Gym
173,Erenkoy mah,40.9731949,29.0765381,562be02a498e291ad9734192,Miramar Pilates Studio,40.97730750992,29.07878040110101,495,Gymnastics Gym
307,Dumlupinar mah,40.9942188,29.05908429999999,562caf8d498e8466a567fcf6,istanbul ticaret odası spor kulübü,40.99562290148398,29.058564427617195,162,Gym
16,Bostanci mah,40.9583172,29.0968982,562e7018498e2c64015d1484,Pilates 18,40.96072752350734,29.090359210968014,611,Gymnastics Gym
94,Caferaga mah,40.9837196,29.0256257,5638713acd1037ff5c1e68bb,Fitness Coach Mahir,40.985585516629996,29.023568825854113,270,Gym
485,19 mayis mah,40.97462609999999,29.0881728,563a1258cd103c411cec3094,Bfit erenköy,40.971915865373575,29.08500570716814,402,Gym
167,Erenkoy mah,40.9731949,29.0765381,5644c091498ea4f81fabc977,T-Bone TEAM Academy,40.977076148160066,29.0773930887825,437,Martial Arts Dojo
538,Osmanaga mah,40.9914317,29.0270806,5644c460498eef663d46d844,Kadıköy Yoga,40.988627,29.026528,315,Yoga Studio
230,Feneryolu mah,40.9819573,29.04890199999999,5651ef3f498e5602c6b6d15d,Hilton Sport Center,40.983001708984375,29.05152130126953,248,Gym / Fitness Center
360,Acibadem mah,41.0021363,29.0387191,5651f0f6498e375eb03f4c5e,MMA & Fitness Body,41.00342332759548,29.045546635794377,591,Martial Arts Dojo
621,Suadi̇ye mah,40.963081,29.0838099,5655cd2438faea42f24ae6ee,G&G Studio Pilates Bale,40.96124820633015,29.0830410218805,214,Yoga Studio
313,Dumlupinar mah,40.9942188,29.05908429999999,565f2e0c498e9a3cdf4efb3a,Hamit Akyüz Fitness Club,40.99830979111566,29.062166710939962,523,Gym / Fitness Center
