,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
111,Si̇nanpasa mah,41.0418657,29.0051116,4fc77c66e4b06af1d0f968e4,Yoga Academy,41.044367246832394,29.009004375900062,429,Yoga Studio
100,Si̇nanpasa mah,41.0418657,29.0051116,4fc9b8c9e4b0f9aeca841504,SWEAT Fitness Center,41.04254040858915,29.002490833427714,232,Gym
127,Si̇nanpasa mah,41.0418657,29.0051116,4fcd42e8e4b0b705e87c3786,Yogaevi,41.043579,29.007983,307,Yoga Studio
71,Ci̇hannuma mah,41.0472111,29.0074387,4fcdfa55e4b0c300d50367ba,Champion Sport Center,41.047503,29.007795,44,Gym
452,Levazim mah,41.06331369999999,29.0183512,4fce2562e4b0155a2eabb5ec,Korukent Rekreasyon Merkezi,41.05989,29.02165,471,Gym
512,Ulus mah,41.0632296,29.0270806,4fd04bf9e4b00dbf7d8d8276,Tai chi Salon2 United Clubs,41.0588637519397,29.024435116925503,534,Yoga Studio
278,Di̇ki̇li̇tas mah,41.0557351,29.003801,4fd08cb1e4b0da17b0341523,Avatar Gym,41.055879242455,29.00305859890007,64,Gym
160,Akat mah,41.0856143,29.0256257,4fd39809e4b0a8f57126ea38,ersin's gym,41.086463928222656,29.02676010131836,134,Gym
445,Levazim mah,41.06331369999999,29.0183512,4fd4e627e4b0a071e1d8148e,Selenium Havuz,41.06595502093603,29.019490680207788,309,Gym Pool
236,Eti̇ler mah,41.0870419,29.0372643,4fd8489be4b02579a17d33e4,Pilates Etiler,41.08402812329862,29.033733257296117,447,Gym
573,Levent mah,41.0818288,29.0183512,4fdc22d3e4b090d3f585e5bf,Cengiz Han Üçgün Pilates Studio,41.08294582532909,29.013922258500784,391,Gym / Fitness Center
726,Vi̇snezade mah,41.0415031,28.9987081,4fdee8cce4b044e8235978ed,Sport House Fight Club,41.0441786018187,29.001052779558705,357,Martial Arts Dojo
602,Ortakoy mah,41.0539703,29.0270806,4fe34efde4b0fcbc9309fe10,Unıted cımps spor salonu,41.0579420598637,29.023429192709393,537,Gym
274,Balmumcu mah,41.0591046,29.0147137,4fe3b235e4b043458f13e2b6,Saklıkent Fitness,41.0614712203339,29.015250840971706,267,Gym
101,Si̇nanpasa mah,41.0418657,29.0051116,4fea530ad5fb2dc8becacdae,WellGym Spor Merkezi,41.043763306496345,29.007594582441985,296,Gym
723,Vi̇snezade mah,41.0415031,28.9987081,4feff5ace4b0ccc775a19318,Pilates FNB,41.042873,29.000612,220,Gym
290,Di̇ki̇li̇tas mah,41.0557351,29.003801,4ff7eb06e4b042cc2a9f7b77,selenium sky fitness,41.054167908900766,29.00103889425294,290,Gym
728,Vi̇snezade mah,41.0415031,28.9987081,50018ef7e4b05e79b09c2a56,G-Mall Macka Mac Group,41.04376808412667,28.992456669012185,582,Gym Pool
664,Muradi̇ye mah,41.0484504,28.9987081,50055a0ee4b0f953a324a953,Fitflex,41.04720291062301,28.99625538014979,248,Gym
110,Si̇nanpasa mah,41.0418657,29.0051116,500a96fbe4b02a36e9dd8c64,Güner Spor Kulübü,41.04402670010511,29.00486290375661,241,Martial Arts Dojo
704,Turkali̇ mah,41.0476515,29.00161829999999,502aa0b9e4b0cb56a8b7b059,Sporthall,41.0462406745182,29.001139528907924,162,Gym
390,Yildiz mah,41.0471495,29.0139863,50360252e4b0e3f1e5cd72cd,Gym,41.04234332156413,29.011403057147,577,Gym
756,Vi̇snezade mah,41.0415031,28.9987081,5037c343e4b0f46ba0c8a27a,MAC G-mall havuz,41.04372862517724,28.992337335871973,589,Gym Pool
567,Levent mah,41.0818288,29.0183512,5049a55ae4b0e1f266630d8e,By Fitness,41.084124,29.019104,263,Climbing Gym
636,Muradi̇ye mah,41.0484504,28.9987081,504a3204e4b00c0107c4ac40,Pilates & Pilates Istanbul,41.0482836374397,28.993152048173673,466,Gym
369,Gayrettepe mah,41.0641962,29.0067111,504e0fcfe4b050eb2b45594e,Kuveytturk Fitness Club,41.06868694079564,29.006721551607672,499,Gym
231,Eti̇ler mah,41.0870419,29.0372643,5052ec4ee4b0244ddd41735d,Outlook Pilates,41.08980311817332,29.033959812408884,413,Gym / Fitness Center
376,Yildiz mah,41.0471495,29.0139863,505a5c8fe4b0279819a840bf,MG Fit in Fitness,41.0479,29.015429,147,Gym
293,Di̇ki̇li̇tas mah,41.0557351,29.003801,505ee6c1e4b0afdc79a558ab,Koç Universty GYM,41.05491892667482,28.99794926573524,499,Gym
210,Bebek mah,41.0777437,29.0416286,5065a2a4e4b06062647e78cf,Circle Pilates Studio,41.07646578697322,29.04263442873568,165,Gym
